row_id,type,from,condition,condition_var,condition_type,condition_name,save_name,message_text,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,image,audio,video,obj_id,_nodeId,no_response,_ui_type,_ui_position
96,split_by_value,88;88,ABTest_test-gamification_Default;,,,,,@fields.user_name,,,,,,,,,,,,,,,4c19e32b-1135-4026-a12d-c2bbce48789e,,split_by_expression,1295;9200
97,split_by_value,96,,@fields.user_name,has_text,user_name,,@fields.child_nickname,,,,,,,,,,,,,,,18602d48-d36f-4900-afbf-ecfaa926c49b,,split_by_expression,1045;10000
98,send_message,97,,@fields.child_nickname,has_text,child_nickname,,"Well done for Taking a Pause @fields.user_name! You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with @fields.child_nickname!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,9a5f4556-adbe-4ae5-bdd2-2520c92a3a5a,,execute_actions,920;11600
99,send_message,97,,,,,,"Well done for Taking a Pause @fields.user_name! You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Child!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,6a89369e-374c-4446-9d65-855322cd4378,,execute_actions,1170;11600
100,split_by_value,96,,,,,,@fields.child_nickname,,,,,,,,,,,,,,,448679ee-d081-484d-a06b-d4d88bac8a93,,split_by_expression,1545;10200
101,send_message,100,,@fields.child_nickname,has_text,child_nickname,,"Well done for Taking a Pause. You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with @fields.child_nickname!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,ece03bea-3568-4dbd-8555-d9f336ef9646,,execute_actions,1420;11600
102,send_message,100,,,,,,"Well done for Taking a Pause. You have added another skill to your Parenting Toolkit! Over the next few days, try taking a pause whenever you are feeling stressed. It gives you a chance to be calmer. Even a few deep breaths or connecting with the ground beneath you can make a difference. You can also Take a Pause with your Child!",,,,,,,,,,,https://idems-media-recorder.web.app/storage/project/PLH/subproject/Rapidpro/deployment/Global/resourceGroup/image/universal/congratulation.jpg,,,,7f93f5ef-7b65-4fcd-b975-68c6319d4e7f,,execute_actions,1670;11600
103,send_message,70,no n,,has_any_word,no,,"That's Ok! You can always type ""Relax"" whenever you want an activity to help you with stress.",,,,,,,,,,,,,,,0f003342-007b-44c2-b593-dfad6fa9b7bb,,execute_actions,11400;8540
104,split_by_value,101;102;103;76;77;79;80;83;84;86;87;91;92;94;95;98;99,,,,,,@fields.user_name,,,,,,,,,,,,,,,127ea173-8fa0-4e82-856c-85b0c114d33b,,split_by_expression,10715;12160
105,split_by_group,104,,@fields.user_name,has_text,user_name,,ABTest_test-first-person_Default,,,,,,,,,,,,,,34748c8b-842c-472a-a8ee-b86c7b76914f,baeead7a-9ebb-4d2c-99f6-888d83278176,,split_by_expression,10465;12360
